VSL_IMO_NUMBER,VSL_NAME,Average of BL Cons,BASE LINE BL Port FOC (MT/DAY),Count of Type,Average of Tsw,Type,Primary Manager,Potential,Count of VSL_IMO_NUMBER
9522972,Ore China,1.4453027950310557,1.023,16,22.625,Bulk Carrier,IN SMC,-19121.49068322981,16
9568495,Sakura Advance,1.4459746255569206,0.6,23,31.217391304347824,Tanker,SG SMC,-18716.433491736407,23
9971460,Shine Coral,1.4569128094569601,0.8,17,24.058823529411764,Bulk Carrier,CN SMC,-15949.219497560925,17
9532513,Ore Dongjiakou,1.4636363636363638,1.023,11,26.90909090909091,Bulk Carrier,IN SMC,-11360,11
9304148,Azalea Island,1.4760758196721315,0.87,16,25.125,Bulk Carrier,IN SMC,-13934.359463487333,16
9741786,Mount Broad Peak,1.4808243727598567,1,33,24.96969696969697,Bulk Carrier,SG SMC,-63416.77419354839,33
9887372,Solar Roma,1.4833333333333334,0.9,3,28,Tanker,CYP SMC,-8440,3
9687239,Nordic Odin,1.4836643413117563,0.83,13,14,Bulk Carrier,CYP SMC,1104.8522144488527,13
9743174,Golden Calvus,1.4839594754797663,,9,24.77777777777778,Bulk Carrier,SG SMC,-26534.24713142702,9
9687227,Nordic Oshima,1.4890509795199705,0.83,25,13.4,Bulk Carrier,CYP SMC,-1841.3996849226205,25
9849899,Golden Frost,1.4992307692307691,0.8,13,16.153846153846153,Bulk Carrier,SG SMC,-13256,13
9294886,Wan Hai 506,1.512688814278709,1.5,26,24.26923076923077,Container Ship,CN SMC,-30329.831841009505,26
9545285,Duke I,1.5161739130434781,0.8,5,24.2,Bulk Carrier,CYP SMC,-9140.452173913043,5
9631113,Lyme Bay,1.5203577430862263,1.5,19,27.05263157894737,Container Ship,DE SMC,-625.248081270086,19
9793260,Vega Song,1.523060935285782,0.87,9,19.666666666666668,LPG Carrier,SG SMC,-17430.41473783656,9
9383895,Central,1.524153949888621,0.81,66,29.833333333333332,Tanker,IN SMC,-43367.453873401115,66
9343998,Kohzan Maru V,1.5294254658385094,0.9,4,26,Tanker,SG SMC,-6029.416149068322,4
9895795,Nordic Sanngijuq,1.5341769722411314,1.1,16,22,Bulk Carrier,CYP SMC,-5375.314424022387,16
9741774,Mount Gongga,1.542130707482642,1,17,15.882352941176471,Bulk Carrier,SG SMC,-25073.92014041246,17
9660023,United Crown,1.5553262404471884,0.912,24,27.791666666666668,Bulk Carrier,IN SMC,-17584.447902972344,24
9925679,Indianapolis,1.5555129032232349,0.7,24,21.541666666666668,LPG Carrier,GR SMC,-41353.505691062244,24
9856490,Golden Competence,1.5555399784535562,0.876,13,20.307692307692307,Bulk Carrier,SG SMC,-7447.351311428493,13
9789714,Aquarama,1.5660812422871246,0.7670999999999999,20,11.95,LPG Carrier,GR SMC,-27175.29905388729,20
9883041,Nord Minami,1.5928418947783216,1.5,16,21.25,Tanker,SG SMC,-9060.25682960156,16
9407380,Horizon Thetis,1.5953801890570551,0.9,43,28.325581395348838,Tanker,GR SMC,-52140.20121944333,43
9307994,ELLIE M II,1.5971105191653518,0.9,33,30.87878787878788,Tanker,IN SMC,-34677.94588439387,33
9717395,Golden Cirrus,1.5984570620011946,,16,24.4375,Bulk Carrier,SG SMC,-43996.5639828438,16
9703605,MP Ultramax 2,1.6020051851030352,1.1,39,29.871794871794872,Bulk Carrier,SG SMC,-36330.59484964356,39
9362736,CMA CGM Cebu,1.6045354498761986,1,27,26.88888888888889,Container Ship,DE SMC,-26085.56583779331,27
9674854,Passat,1.6066666666666667,0.78,3,24.666666666666668,LPG Carrier,SG SMC,-6688,3
9247560,Folegandros,1.6077840030455472,1.3,6,29.666666666666668,Container Ship,CN SMC,-16053.416641509184,6
9851816,Golden Courage,1.612265637065637,0.876,5,23.8,Bulk Carrier,SG SMC,-2152.0617760617765,5
9786085,Maersk Zambezi,1.6301335158197254,1.3,17,24.88235294117647,Container Ship,CYP SMC,-6173.236673243209,17
9377133,CMA CGM Semarang,1.63250814220474,1,33,16.424242424242426,Container Ship,DE SMC,12648.729864715158,33
9890939,Nord Mirai,1.6504602465364109,1.5,39,21.846153846153847,Tanker,SG SMC,-12356.017400656063,39
9302956,CMA CGM Beira,1.6625357732389963,1,22,26.40909090909091,Container Ship,DE SMC,-19364.16996618192,22
9211494,W Kyrenia,1.678300123865133,1.7,22,23.681818181818183,Container Ship,CYP SMC,-10310.117343423086,22
9803247,Rostella,1.6832869232869232,0.62,3,13.666666666666666,Tanker,SG SMC,-4252.116844116844,3
9333278,Challenge Prelude,1.6885799941491197,1.6,29,31.448275862068964,Tanker,SG SMC,-14863.329210727352,29
9887384,Solar Alice,1.6976014408053244,0.9,4,12.75,Tanker,CYP SMC,-15220.843014241073,4
9665657,Charlotte Schulte,1.7123783855485024,1.5,30,21.233333333333334,Container Ship,HK SMC,6524.941507264106,30
9405928,Pine Express,1.7260333633701852,0.87,28,24.642857142857142,Tanker,SG SMC,-6367.787900760301,28
9694543,CMA CGM Kribi,1.7293194987218086,1.5,28,24.714285714285715,Container Ship,DE SMC,-6610.764143593667,28
9969065,Maersk Frankfurt,1.7360034578262624,,68,30.66176470588235,Container Ship,HK SMC,-187344.73507922856,68
